Feature,Importance
retConglomerate,0.267574978473804
CustomerMomentum,0.12641609747822508
betaVIX,0.08587689812168564
IntanEP,0.04837558006984464
MomSeason16YrPlus,0.04512835010369723
roaq,0.04423769975849246
IndMom,0.04138471991483649
TrendFactor,0.03791490348503592
MomOffSeason06YrPlus,0.03671284285075711
DelDRC,0.029034003806586065
